...1,farmID,farm,lon,lat,zone,biomass,Dw.in,Ds.in,Dw.out,Ds.out,Dw.self,Ds.self,Dw.f.in,Ds.f.in,Dw.f.out,Ds.f.out,avtemp,all_x,all_y,all_xy,all_xz,all_yz,all_xyz,r10xz_r90yz,r25xz_r75yz,r50xz_r50yz,r75xz_r25yz,r90xz_r10yz,r10z_r90xyz,r25z_r75xyz,r50z_r50xyz,r75z_r25xyz,r90z_r10xyz,r50z_r50xz,r50xz_r50xyz,leastDwin10_z_mostDwin90_xyz,leastDwin25_z_mostDwin75_xyz,leastDwin50_z_mostDwin50_xyz,leastDwin75_z_mostDwin25_xyz,leastDwin90_z_mostDwin10_xyz,leastDwin95_z_mostDwin5_xyz,leastDwin95_xyz_mostDwin5_z,leastDwout10_xyz_mostDwout90_z,leastDwout25_xyz_mostDwout75_z,leastDwout50_xyz_mostDwout50_z,leastDwout75_xyz_mostDwout25_z,leastDwout90_xyz_mostDwout10_z,leastDwout95_xyz_mostDwout5_z,all_z
1,10041,10041,5.091,60.054,3,2340,0.046944444,0.015767021,0.059791667,0.037226511,0.002569444,0.002276867,100,36,61,42,10.07120968,x,y,xy,xz,yz,xyz,yz,yz,yz,xz,xz,xyz,xyz,xyz,z,z,z,xyz,xyz,xyz,xyz,z,z,z,xyz,z,z,z,xyz,xyz,xyz,z
2,10054,10054,5.308,60.024,3,3120,0.047986111,0.030054142,0.065902778,0.035803621,0.000972222,0.000967668,82,67,77,52,10.33973328,x,y,xy,xz,yz,xyz,yz,yz,yz,xz,xz,xyz,xyz,xyz,z,z,xz,xyz,xyz,xyz,xyz,z,z,z,xyz,z,z,z,xyz,xyz,xyz,z
3,10078,10078,5.03,60.998,4,2340,0.033888889,0.017645566,0.062986111,0.035974369,0.048888889,0.028290073,32,25,31,26,10.0408169,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,xz,z,xyz,xyz,z,z,xz,xyz,xyz,xyz,z,z,z,z,xyz,z,z,z,xyz,xyz,xyz,z
4,10080,10080,5.116,60.53,4,1560,0.034027778,0.014401142,0.049236111,0.020890099,0.002916667,0.004326047,14,12,51,31,10.02619484,x,y,xy,xz,yz,xyz,yz,yz,yz,xz,xz,xyz,xyz,z,xyz,z,z,xyz,xyz,xyz,z,z,z,z,xyz,z,z,z,xyz,xyz,xyz,z
5,10086,10086,5.329,60.723,4,1560,0.106041667,0.042805079,0.052222222,0.037852826,0.015069444,0.006318306,16,14,36,24,10.48476706,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,yz,xyz,xyz,xyz,xyz,xyz,z,xyz,xyz,xyz,xyz,xyz,z,z,xyz,z,z,z,xyz,xyz,xyz,z
6,10087,10087,4.707,61.319,4,1560,0.081666667,0.027208035,0.015555556,0.014002535,0.000486111,0.00102459,120,78,48,30,10.10325337,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,xz,xyz,xyz,xyz,xyz,z,z,xz,xyz,xyz,xyz,xyz,z,z,xyz,xyz,xyz,xyz,xyz,xyz,xyz,z
7,10090,10090,5.019,61.37,4,2340,0.000416667,0.002219815,0.090763889,0.038820452,0.001666667,0.00745674,6,10,21,14,10.61638634,x,y,xy,xz,yz,xyz,yz,yz,yz,yz,xz,xyz,z,z,z,z,z,xz,z,z,z,z,z,z,xyz,z,z,z,z,xyz,xyz,z
8,10091,10091,5.024,61.49,4,3120,0.037291667,0.015539399,0.022569444,0.016279577,0.00125,0.000796903,85,36,26,18,9.72960607,x,y,xy,xz,yz,xyz,yz,yz,yz,xz,xz,xyz,xyz,z,xyz,z,z,xz,xyz,xyz,z,z,z,z,xyz,z,xyz,xyz,xyz,xyz,xyz,z
9,10110,10110,5.864,59.147,2,4680,0.062291667,0.026354604,0.042013889,0.025159206,0.026319444,0.008082878,54,36,68,39,10.41385089,x,y,xy,xz,yz,xyz,yz,yz,yz,xz,xz,z,xyz,z,z,z,z,xz,xyz,xyz,xyz,z,z,z,xyz,z,z,xyz,xyz,xyz,xyz,z
10,10113,10113,5.934,59.122,2,3600,0.055972222,0.023906995,0.063472222,0.024874509,0.014444444,0.006375228,48,29,72,41,10.62408608,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,xz,xyz,xyz,z,z,z,z,xyz,xyz,xyz,xyz,z,z,z,xyz,z,z,z,xyz,xyz,xyz,z
11,10126,10126,6.098,59.215,2,325,0.060416667,0.019353173,0.065486111,0.033640511,0.003541667,0.00204918,50,41,55,39,10.3812375,x,y,xy,xz,yz,xyz,yz,yz,yz,xz,yz,xyz,z,z,z,z,xz,xz,xyz,xyz,xyz,z,z,z,xyz,z,z,z,xyz,xyz,xyz,z
12,10136,10136,5.67,59.953,3,3900,0.141319444,0.033014416,0.093402778,0.032046682,0.011388889,0.01292122,69,49,62,42,10.17951124,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,xz,xyz,z,z,z,z,z,xz,xyz,xyz,xyz,xyz,xyz,z,xyz,z,z,z,z,xyz,xyz,z
13,10137,10137,5.659,60.264,3,780,0.133333333,0.118169353,0.165625,0.099669682,0.024513889,0.021004098,39,30,55,43,11.0702769,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,xz,xyz,z,xyz,z,z,xz,xyz,xyz,xyz,xyz,xyz,xyz,z,xyz,z,z,z,z,z,z,z
14,10149,10149,6.177,59.791,3,1235,0.022569444,0.011156626,0.010138889,0.004895155,0.014097222,0.005521403,11,6,16,13,10.51699985,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,xz,xyz,xyz,xyz,xyz,z,z,xyz,xyz,xyz,z,z,z,z,xyz,xyz,xyz,xyz,xyz,xyz,xyz,z
15,10156,10156,5.586,60.874,4,325,0.005555556,0.015938069,0.149166667,0.085951731,0.004027778,0.010359745,2,2,20,14,10.05857373,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,yz,z,xyz,xyz,xyz,z,xz,xz,xyz,z,z,z,z,z,xyz,z,z,z,z,z,z,z
16,10181,10181,6.158,62.517,5,4680,0.012638889,0.016734623,0.023541667,0.012408296,0.001111111,0.005862933,39,33,61,45,9.546569877,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,xz,xyz,xyz,xyz,xyz,z,xz,xyz,xyz,z,z,z,z,z,xyz,z,xyz,xyz,xyz,xyz,xyz,z
17,10183,10183,6.264,62.36,5,325,0.011805556,0.014514984,0.021180556,0.010871821,0.000902778,0.001878415,16,16,35,29,10.10097689,x,y,xy,xz,yz,xyz,yz,xz,xz,yz,xz,xyz,xyz,xyz,z,z,xz,xz,xyz,z,z,z,z,z,xyz,z,xyz,xyz,xyz,xyz,xyz,z
18,10194,10194,6.747,62.736,5,780,0.002569444,0.001764505,0.01625,0.006431778,0,0.004098361,17,12,58,33,9.548074993,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,xz,xyz,z,xyz,z,z,xz,xz,z,z,z,z,z,z,xyz,xyz,xyz,xyz,xyz,xyz,xyz,z
19,10197,10197,6.99,62.288,5,1560,0.042152778,0.025500911,0.021319444,0.01240886,0.005902778,0.007001366,5,4,12,10,10.13891241,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,xz,xyz,xyz,z,z,z,xz,xz,xyz,xyz,xyz,z,z,z,xyz,z,xyz,xyz,xyz,xyz,xyz,z
20,10206,10206,7.602,63.069,6,325,0.039513889,0.008993299,0.058958333,0.014059132,0.037291667,0.006147541,30,26,64,36,9.063640209,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,xz,z,z,xyz,z,z,xz,xyz,xyz,xyz,z,z,z,z,xyz,z,z,z,xyz,xyz,xyz,z
21,10212,10212,7.903,63.078,6,3120,0.014513889,0.014002602,0.053125,0.03005425,0.000416667,0.005009107,15,24,78,50,9.641437102,x,y,xy,xz,yz,xyz,xz,yz,yz,xz,xz,xyz,z,xyz,z,z,xz,xyz,xyz,z,z,z,z,z,xyz,z,z,z,xyz,xyz,xyz,z
22,10213,10213,8.076,62.942,6,2340,0.042569444,0.033469946,0.074791667,0.045594022,0.011944444,0.029826958,16,8,33,30,9.796231299,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,xz,xyz,xyz,z,xyz,z,z,xz,xyz,xyz,xyz,z,z,z,xyz,z,z,z,xyz,xyz,xyz,z
23,10216,10216,8.193,63.077,6,3120,0.044930556,0.019182495,0.082777778,0.03597426,0.018263889,0.00848133,22,16,28,30,9.413310403,x,y,xy,xz,yz,xyz,yz,xz,xz,xz,xz,xyz,z,xyz,z,z,xz,xyz,xyz,xyz,xyz,z,z,z,xyz,z,z,z,z,xyz,xyz,z
24,10223,10223,8.214,63.398,6,7020,0.008263889,0.018043756,0.035833333,0.017759104,0,0.00273224,44,44,74,60,9.40861015,x,y,xy,xz,yz,xyz,yz,yz,xz,yz,xz,xyz,xyz,xyz,xyz,z,z,xz,xyz,z,z,z,z,z,xyz,z,z,xyz,xyz,xyz,xyz,z
