"","farm","farmID","lon","lat","biomass","fs_old","fish.kg","female","motile","sessile","fs","zone","avtemp","Dw.in","Ds.in","Dw.out","Ds.out","Dw.self","Ds.self","Dw.f.in","Ds.f.in","Dw.f.out","Ds.f.out","fluxhw","fluxhs","Dw.outflux","Ds.outflux","ad.y2","ch.y2","la.y2","pa.y2"
"1",10041,10041,5.091,60.054,2340,1215864,1.924557352,0.298,2.496,0.986,520000,3,10.07120968,0.046944444,0.015767021,0.059791667,0.037226511,0.002569444,0.002276867,100,36,61,42,63368.28708,21452.04141,31091.66667,19357.78572,0.616921153846154,0.450192307692308,72.311375,0.337705769230769
"2",10054,10054,5.308,60.024,3120,1621152,1.924557352,0.3575,1.595,0.2,693333,3,10.33973328,0.047986111,0.030054142,0.065902778,0.035803621,0.000972222,0.000967668,82,67,77,52,67162.99083,51680.23519,45692.57062,24823.83196,0.442855020603375,0.295348699686875,53.9906307647263,0.222464530031024
"3",10078,10078,5.03,60.998,2340,1215864,1.924557352,0.2125,2.3625,1.1,520000,4,10.0408169,0.033888889,0.017645566,0.062986111,0.035974369,0.048888889,0.028290073,32,25,31,26,54705.22,29310.04977,32752.77778,18706.67188,0.638963461538462,0.756219230769231,67.4338711538462,0.534511538461538
"4",10080,10080,5.116,60.53,1560,810576,1.924557352,0.35,3.36,0.2825,346667,4,10.02619484,0.034027778,0.014401142,0.049236111,0.020890099,0.002916667,0.004326047,14,12,51,31,38715.6125,16229.45447,17068.53493,7241.90795,0.455437062079748,0.286519916807772,59.0996056734561,0.235352658314752
"5",10086,10086,5.329,60.723,1560,810576,1.924557352,0.178,2.734,0.912,346667,4,10.48476706,0.106041667,0.042805079,0.052222222,0.037852826,0.015069444,0.006318306,16,14,36,24,99539.1225,33725.90332,18103.72111,13122.32563,0.750740624287861,1.19882769343491,77.472213969025,0.825316514118736
"6",10087,10087,4.707,61.319,1560,810576,1.924557352,0.196,1.156,0.09,346667,4,10.10325337,0.081666667,0.027208035,0.015555556,0.014002535,0.000486111,0.00102459,120,78,48,30,106371.1408,36087.47058,5392.597778,4854.216801,0.584973475987042,1.00451153412352,57.959791384816,0.660031096123946
"7",10090,10090,5.019,61.37,2340,1215864,1.924557352,0.075,0.5,0.725,520000,4,10.61638634,0.000416667,0.002219815,0.090763889,0.038820452,0.001666667,0.00745674,6,10,21,14,534.755,2828.497813,47197.22222,20186.63504,0.00853653846153846,0.00115961538461538,1.35014230769231,0.001075
"8",10091,10091,5.024,61.49,3120,1621152,1.924557352,0.235,4.745,3.1025,693333,4,9.72960607,0.037291667,0.015539399,0.022569444,0.016279577,0.00125,0.000796903,85,36,26,18,50619.865,18856.54651,15648.14063,11287.16796,0.165292867929263,0.137489489177639,18.3727155638056,0.101708702744569
"9",10110,10110,5.864,59.147,4680,2431728,1.924557352,0.18,1.64875,0.18875,1040000,2,10.41385089,0.062291667,0.026354604,0.042013889,0.025159206,0.026319444,0.008082878,54,36,68,39,83452.45083,33962.97516,43694.44444,26165.57424,0.342603846153846,0.281503846153846,40.2905086538462,0.209321153846154
"10",10113,10113,5.934,59.122,3600,1870560,1.924557352,0.138333333,1.496666667,0.388333333,8e+05,2,10.62408608,0.055972222,0.023906995,0.063472222,0.024874509,0.014444444,0.006375228,48,29,72,41,70424.38292,31114.04475,50777.77778,19899.6072,0.17426625,0.123645,21.186535,0.0947425
"11",10126,10126,6.098,59.215,325,168870,1.924557352,0,0,0,72222,2,10.3812375,0.060416667,0.019353173,0.065486111,0.033640511,0.003541667,0.00204918,50,41,55,39,78933.55458,27377.20781,4729.537917,2429.584985,0.463224502229238,1.5417047437069,45.5536955498325,0.648029686245188
"12",10136,10136,5.67,59.953,3900,2026440,1.924557352,0.12,1.405,0.5925,866667,3,10.17951124,0.141319444,0.033014416,0.093402778,0.032046682,0.011388889,0.01292122,69,49,62,42,199253.9708,51611.41568,80949.10521,27773.80175,0.878878508123651,0.935926947720405,87.445917520801,0.68793435079448
"13",10137,10137,5.659,60.264,780,405288,1.924557352,0.875,5.7,0.2675,173333,3,11.0702769,0.133333333,0.118169353,0.165625,0.099669682,0.024513889,0.021004098,39,30,55,43,155861.7779,140701.864,28708.27813,17276.04499,0.654705105202125,2.93702295581338,67.2787063052044,1.41179694576336
"14",10149,10149,6.177,59.791,1235,641706,1.924557352,0.1725,0.965,0.0875,274444,3,10.51699985,0.022569444,0.011156626,0.010138889,0.004895155,0.014097222,0.005521403,11,6,16,13,15107.37,5806.413776,2782.557222,1343.445919,0.244720234364752,0.151903484863943,30.8034316654764,0.123172669105537
"15",10156,10156,5.586,60.874,325,168870,1.924557352,0,0,0,72222,4,10.05857373,0.005555556,0.015938069,0.149166667,0.085951731,0.004027778,0.010359745,2,2,20,14,2251.6,6459.508109,10773.115,6207.605916,0.0196754451552159,0.0065630971172219,2.49281382404254,0.00576001772313146
"16",10181,10181,6.158,62.517,4680,2431728,1.924557352,0.1675,0.88,0.12125,1040000,5,9.546569877,0.012638889,0.016734623,0.023541667,0.012408296,0.001111111,0.005862933,39,33,61,45,19026.56125,26815.29297,24483.33333,12904.62784,0.00675673076923077,0.0046375,0.7471125,0.00379230769230769
"17",10183,10183,6.264,62.36,325,168870,1.924557352,0,0,0,72222,5,10.10097689,0.011805556,0.014514984,0.021180556,0.010871821,0.000902778,0.001878415,16,16,35,29,20763.79333,27945.87264,1529.702083,785.1846563,0.0342693362133422,0.0161723574534075,4.33336102572623,0.0136246573066379
