scenarios,sim,years,Hcol,years.start,Hcol.start,kws,ksp,kmax,xmax,muA,muP,muC,v,stratx,xA,xP,xC,xv,xf,xs,xmu,straty,yA,yP,yC,yv,yf,ys,ymu,R.sel,RR.ad,RS.ad,SS.ad,T.sel,TT.ad,TU.ad,UU.ad,vR.to,fR.to,sR.to,muR.to,vT.to,fT.to,sT.to,muT.to,prop.RSUU,prop.SSTU,prop.RSTU,lwr.latR,upr.latR,lwr.latT,upr.latT,zA,zP,zC
ref.noRT,ref.noRT,17,leastDwout90_xyz_mostDwout10_z,2,all_z,1,0.4,2,0,0.838,0.838,0.986,0.05,cont,1,1,1,1,1,1,0.632455532,cont,1,1,1,1,1,1,0.632455532,x,0.3,0.15,0,y,0.3,0.15,0,0,0,0,0,0,0,0,0,0,0,0,58,67,58,67,0.3,0.3,0.3
cost.size,big.ref.25,17,small75_xyz_big25_z,2,all_z,1,0.4,2,0,0.838,0.838,0.986,0.05,cont,1,1,1,1,1,1,0.632455532,cont,1,1,1,1,1,1,0.632455532,x,0.3,0.15,0,y,0.3,0.15,0,0,0,0,0,0,0,0,0,0.05,0.05,0,58,67,58,67,0.3,0.3,0.3
cost.size,small.ref.25,17,small25_z_big75_xyz,2,all_z,1,0.4,2,0,0.838,0.838,0.986,0.05,cont,1,1,1,1,1,1,0.632455532,cont,1,1,1,1,1,1,0.632455532,x,0.3,0.15,0,y,0.3,0.15,0,0,0,0,0,0,0,0,0,0.05,0.05,0,58,67,58,67,0.3,0.3,0.3
cost.size,big.ref.10,17,small90_xyz_big10_z,2,all_z,1,0.4,2,0,0.838,0.838,0.986,0.05,cont,1,1,1,1,1,1,0.632455532,cont,1,1,1,1,1,1,0.632455532,x,0.3,0.15,0,y,0.3,0.15,0,0,0,0,0,0,0,0,0,0.05,0.05,0,58,67,58,67,0.3,0.3,0.3
eachZ,ref10.eachZ,17,Dwout90.eachZ,2,all_z,1,0.4,2,0,0.838,0.838,0.986,0.05,cont,1,1,1,1,1,1,0.632455532,cont,1,1,1,1,1,1,0.632455532,x,0.3,0.15,0,y,0.3,0.15,0,0,0,0,0,0,0,0,0,0.05,0.05,0,58,67,58,67,0.3,0.3,0.3
nores.50xyz,rand.50xyz,17,r50z_r50xyz,2,all_z,1,0.4,2,0,0.838,0.838,0.986,0.05,cont,1,1,1,1,1,1,0.632455532,cont,1,1,1,1,1,1,0.632455532,x,0.3,0.15,0,y,0.3,0.15,0,0,0,0,0,0,0,0,0,0,0,0,58,67,58,67,0.3,0.3,0.3
nores.75xyz,rand.75xyz,17,r25z_r75xyz,2,all_z,1,0.4,2,0,0.838,0.838,0.986,0.05,cont,1,1,1,1,1,1,0.632455532,cont,1,1,1,1,1,1,0.632455532,x,0.3,0.15,0,y,0.3,0.15,0,0,0,0,0,0,0,0,0,0,0,0,58,67,58,67,0.3,0.3,0.3
nores.50xyz,mostDwin.50xyz,17,leastDwin50_z_mostDwin50_xyz,2,all_z,1,0.4,2,0,0.838,0.838,0.986,0.05,cont,1,1,1,1,1,1,0.632455532,cont,1,1,1,1,1,1,0.632455532,x,0.3,0.15,0,y,0.3,0.15,0,0,0,0,0,0,0,0,0,0,0,0,58,67,58,67,0.3,0.3,0.3
nores.50xyz,mostDwout.50xyz,17,leastDwout50_z_mostDwout50_xyz,2,all_z,1,0.4,2,0,0.838,0.838,0.986,0.05,cont,1,1,1,1,1,1,0.632455532,cont,1,1,1,1,1,1,0.632455532,x,0.3,0.15,0,y,0.3,0.15,0,0,0,0,0,0,0,0,0,0,0,0,58,67,58,67,0.3,0.3,0.3
nores.25xyz,rand,17,r75z_r25xyz,2,all_z,1,0.4,2,0,0.838,0.838,0.986,0.05,cont,1,1,1,1,1,1,0.632455532,cont,1,1,1,1,1,1,0.632455532,x,0.3,0.15,0,y,0.3,0.15,0,0,0,0,0,0,0,0,0,0,0,0,58,67,58,67,0.3,0.3,0.3
nores.25xyz,big,17,small75_z_big25_xyz,2,all_z,1,0.4,2,0,0.838,0.838,0.986,0.05,cont,1,1,1,1,1,1,0.632455532,cont,1,1,1,1,1,1,0.632455532,x,0.3,0.15,0,y,0.3,0.15,0,0,0,0,0,0,0,0,0,0,0,0,58,67,58,67,0.3,0.3,0.3
nores.25xyz,mostDwin,17,leastDwin75_z_mostDwin25_xyz,2,all_z,1,0.4,2,0,0.838,0.838,0.986,0.05,cont,1,1,1,1,1,1,0.632455532,cont,1,1,1,1,1,1,0.632455532,x,0.3,0.15,0,y,0.3,0.15,0,0,0,0,0,0,0,0,0,0,0,0,58,67,58,67,0.3,0.3,0.3
nores.25xyz,mostDwout,17,leastDwout75_z_mostDwout25_xyz,2,all_z,1,0.4,2,0,0.838,0.838,0.986,0.05,cont,1,1,1,1,1,1,0.632455532,cont,1,1,1,1,1,1,0.632455532,x,0.3,0.15,0,y,0.3,0.15,0,0,0,0,0,0,0,0,0,0,0,0,58,67,58,67,0.3,0.3,0.3
NEW,allz,17,all_z,2,all_z,1,0.4,2,0,0.838,0.838,0.986,0.05,cont,1,1,1,1,1,1,0.632455532,cont,1,1,1,1,1,1,0.632455532,x,0.3,0.15,0,y,0.3,0.15,0,0,0,0,0,0,0,0,0,0.09,0.09,0.01,58,67,58,67,0.3,0.3,0.3
NEW,allxyz,17,all_xyz,2,all_z,1,0.4,2,0,0.838,0.838,0.986,0.05,cont,1,1,1,1,1,1,0.632455532,cont,1,1,1,1,1,1,0.632455532,x,0.3,0.15,0,y,0.3,0.15,0,0,0,0,0,0,0,0,0,0.09,0.09,0.01,58,67,58,67,0.3,0.3,0.3
NEW,allxz,17,all_xz,2,all_z,1,0.4,2,0,0.838,0.838,0.986,0.05,cont,1,1,1,1,1,1,0.632455532,cont,1,1,1,1,1,1,0.632455532,x,0.3,0.15,0,y,0.3,0.15,0,0,0,0,0,0,0,0,0,0.09,0.09,0.01,58,67,58,67,0.3,0.3,0.3
NEW,xz50.yz50,17,r50xz_r50yz,2,all_z,1,0.4,2,0,0.838,0.838,0.986,0.05,cont,1,1,1,1,1,1,0.632455532,cont,1,1,1,1,1,1,0.632455532,x,0.3,0.15,0,y,0.3,0.15,0,0,0,0,0,0,0,0,0,0.09,0.09,0.01,58,67,58,67,0.3,0.3,0.3
NEW,xz1.yz2,17,all_yz,8,all_xz,1,0.4,2,0,0.838,0.838,0.986,0.05,cont,1,1,1,1,1,1,0.632455532,cont,1,1,1,1,1,1,0.632455532,x,0.3,0.15,0,y,0.3,0.15,0,0,0,0,0,0,0,0,0,0.09,0.09,0.01,58,67,58,67,0.3,0.3,0.3
NEW,ref10.all,17,leastDwout90_xyz_mostDwout10_z,2,all_z,1,0.4,2,0,0.838,0.838,0.986,0.05,cont,1,1,1,1,1,1,0.632455532,cont,1,1,1,1,1,1,0.632455532,x,0.3,0.15,0,y,0.3,0.15,0,0,0,0,0,0,0,0,0,0.09,0.09,0.01,58,67,58,67,0.3,0.3,0.3
NEW,ref10.Dwin,17,leastDwin90_xyz_mostDwin10_z,2,all_z,1,0.4,2,0,0.838,0.838,0.986,0.05,cont,1,1,1,1,1,1,0.632455532,cont,1,1,1,1,1,1,0.632455532,x,0.3,0.15,0,y,0.3,0.15,0,0,0,0,0,0,0,0,0,0.09,0.09,0.01,58,67,58,67,0.3,0.3,0.3
