"","s1","s2","s3","s4","s5","sp","w1","w2","w3","w4"
"10041",152.746625195405,168.669539039628,170.775339054496,168.060599425912,151.602860115741,94.2446731456269,85.6753905854734,55.8053930205929,49.4147043856725,118.373831290972
"10054",158.112640336086,169.532715885552,170.736823700162,167.330184738321,149.778406973913,112.746191069831,84.7105827165486,59.1168530473007,64.6792538382693,121.480515837862
"10078",144.373289131767,167.029995180107,170.020975048459,167.626701462446,146.475266889114,93.0681922810939,101.012581026683,75.7099394937177,66.5257114459408,118.631649018032
"10080",144.40855625826,161.605027960304,169.146743239451,165.270912475594,149.336904741618,108.311057348873,95.9713568366562,73.5917085903363,73.6915600740686,132.819168664012
"10086",155.700314002284,168.638522432751,170.660347404475,166.633130395535,154.359066933038,104.060181318132,100.909149916203,78.4995284676566,67.6185821571385,128.823212791218
"10087",148.141489589878,166.973279060656,170.409132572031,165.918822312824,149.900693364292,104.481717201087,103.173302050535,69.0792286154832,55.2677020389267,121.972361307327
"10090",147.794464076825,163.002883006737,165.438118121527,159.066331089098,157.590157264514,128.4825366778,112.230187733291,110.613551009974,107.121400338139,139.800502601099
"10091",145.144124458528,166.04981539899,170.387192655984,164.174554027247,147.081968875521,93.6391737756192,81.2021438082712,60.4049925391358,59.8333070339414,114.213108728546
"10110",158.379354156961,170.152430093048,170.772454148303,167.801905916731,150.926773934402,107.246533691136,82.8519847833327,57.9124481384505,61.8310746980834,122.108113021757
"10113",161.639125942741,170.4831033036,170.798046892682,168.63472833787,149.938373300752,112.670989668324,88.8138823444812,59.8472610114576,69.3578717387169,123.609646453118
"10126",163.676138618575,170.424529700005,170.559401968451,166.755700417428,147.19784380265,118.954353786347,73.6416369332513,43.1456057226135,58.5707555961085,114.925947283374
"10136",164.414939345451,170.74930239639,170.807276320732,166.212219733879,140.480903094135,111.776207767384,70.1854050751924,41.6374139127114,61.6581764433224,106.942323036212
"10137",156.140110372237,167.988115891537,168.158955598965,167.603358570519,159.042977060877,124.851403300106,118.77997211051,103.770494339868,105.458151492617,139.443085108774
"10149",157.354998092894,167.226513528937,170.622397808967,168.387892572866,153.258056038525,115.516701800573,99.0451819153116,73.2254102160806,67.6545893881479,127.383730733319
"10156",151.497353607095,169.551852475001,170.619681578328,164.500981821162,143.886895434276,103.065470877636,85.3107498308254,66.8090000809366,63.1008271416403,117.596409091259
"10181",136.888172523319,164.649238966875,169.819045271855,162.3487730004,144.661682049222,93.4759007712502,83.2891843984501,62.6669560208158,63.4419233780991,111.510057664123
"10183",152.802139904355,167.998073728214,170.236129884064,164.445836685357,146.297084946196,106.147354003582,90.5236807290863,71.344410066876,64.9289046944514,122.158012376674
