farmID,s1,s2,s3,s4,s5,sp,w1,w2,w3,w4
10041,11.53846154,14.5,15.98,14.27941176,11.40625,7.253333333,6.8,5.303125,4.984848485,8.666666667
10054,12.23444444,14.8816,15.88709677,14.0475,11.20444444,8.312857143,6.75,5.467,5.741935484,8.870454545
10078,10.66,13.96,15.16296296,14.13809524,10.86333333,7.19,7.625806452,6.291304348,5.833333333,8.683333333
10080,10.66333333,12.78444444,14.69791667,13.51111111,11.15714286,8.046,7.347,6.185,6.19,9.68
10086,11.904,14.488,15.75277778,13.85,11.73333333,7.798666667,7.62,6.432142857,5.8875,9.38125
10087,11.03181818,13.94390244,15.4627907,13.66571429,11.21764706,7.822857143,7.748,5.96,5.276470588,8.903333333
10090,10.99615385,13.03793103,13.55,12.375,12.16,9.356521739,8.281304348,8.183333333,7.976,10.24761905
10091,10.73344828,13.69833333,15.44263158,13.271,10.92388889,7.220689655,6.569655172,5.530666667,5.502413793,8.403333333
10110,12.273125,15.2536,16.52921053,14.19380952,11.33022727,7.983333333,6.654186047,5.40744186,5.601136364,8.912439024
10113,12.79035714,15.53521739,16.44375,14.48653846,11.22172414,8.30825,6.964,5.503103448,5.973846154,9.014074074
10126,13.16923077,15.47727273,16.9,13.88333333,10.93555556,8.704255319,6.1875,4.6675,5.44,8.447727273
10136,13.32162162,15.91428571,16.0962963,13.73947368,10.30666667,8.253658537,6.015,4.59,5.592592593,7.965517241
10137,11.96185185,14.255,14.31310345,14.1308,12.37148148,9.099444444,8.692941176,7.782083333,7.879166667,10.21689655
10149,12.12704545,14.01682927,15.69854167,14.39425,11.59914286,8.484736842,7.516,6.166666667,5.889285714,9.2775
10156,11.39428571,14.89142857,15.69487179,13.34,10.61428571,7.741860465,6.781081081,5.847368421,5.663888889,8.616666667
10181,10.00285714,13.372,15.03787879,12.91636364,10.68733333,7.211904762,6.676666667,5.642444444,5.68075,8.2375
10183,11.545,14.25833333,15.31627907,13.32820513,10.84571429,7.919148936,7.054285714,6.072727273,5.754285714,8.915789474
10194,10.565625,13.31515152,14.83333333,13.3,10.69090909,7.05,6.526315789,5.355555556,5.510526316,8.333333333
10197,11.48857143,14.20333333,15.20952381,13.1625,10.87027027,8.134042553,7.4,6.237142857,5.917073171,8.766666667
10206,10.4724,12.81181818,14.47235294,12.80333333,10.1695,6.94,5.300869565,4.9024,5.495833333,7.267894737
10212,10.39565217,12.609375,14.45,13.28409091,10.65,7.748148148,6.613793103,6.117857143,6.133333333,8.412121212
10213,10.73,13.23181818,14.93529412,12.9525,10.5525,8.414285714,6.875862069,6.04,5.981481481,8.248571429
10216,10.16444444,12.94888889,14.96730769,13.08857143,10.35862069,7.049056604,6.5375,5.575,5.535714286,7.908
10223,10.03461538,12.0555,14.07869565,13.00617647,10.35464286,7.093809524,6.754210526,5.890625,6.377826087,8.44
10224,9.827333333,12.28255814,14.26868421,13.03666667,10.16428571,7.415925926,6.0875,5.469230769,5.608837209,7.892
10229,10.756,14.05652174,14.95416667,13.28125,10.10666667,7.536,6.018181818,5.606666667,5.794444444,7.653333333
10232,9.13902439,11.25813953,13.35603774,12.52627907,10.26032258,6.935454545,7.026666667,6.289,6.130384615,8.266086957
10238,11.31470588,14.07142857,14.99285714,12.92580645,10.00909091,8.1875,6.263157895,5.9,6.028571429,7.505
10240,9.59,11.4962963,13.0027027,11.99310345,9.880645161,7.092857143,6.753571429,5.864,6.104166667,8.253333333
10256,10.49431818,13.16511628,13.88906977,11.37827586,8.476,7.401034483,4.442105263,3.508,4.018095238,6.4745
10264,10.07368421,12.08235294,12.76692308,11.72222222,9.41,6.3,5.526,4.78,4.583333333,7.555555556
10291,10.65454545,13.45,16.09047619,14.175,11.35555556,7.517241379,6.594444444,5.33,5.375675676,8.861363636
10292,11.28238095,13.32322581,15.92119048,13.87022727,10.96333333,7.348333333,6.113142857,5.285333333,5.519333333,8.297555556
10298,12.2952,14.3792,15.37666667,13.7025641,10.85227273,9.1012,6.563333333,5.328076923,6.48952381,8.717777778
10300,11.59348837,13.78688889,15.55897436,14.30952381,11.5605,7.984693878,7.2725,5.754,5.7416,9.284
10303,12.64074074,14.78,15.94736842,13.805,11.23636364,8.256410256,7.006666667,6.004878049,6.152777778,8.771794872
10309,11.18235294,12.844,14.60447368,13.375,11.05666667,7.715,7.206896552,6.114814815,6.064,9.075862069
10311,11.5725,14.1875,15.51458333,12.76153846,10.7516129,8.397727273,7.885185185,7.05,6.754545455,8.948148148
10318,9.698444444,13.11222222,14.96207547,13.18266667,10.614,7.149555556,6.558,5.4005,5.44,8.757142857
10319,9.37,13.21,14.60142857,13.708,10.96666667,7.175,6.67,5.06,5,8.16
10324,13.3896,16.022,16.12188679,14.32131579,11.42323529,8.26962963,6.601470588,5.933461538,5.846,8.480333333
